year_month,location,date,irradiance,temp_c
2021-02,Changhua,2021-02-14 12:00:00,4.111882142857143,18.752857142857145
2021-02,Chiayi,2021-02-14 12:00:00,4.724860714285714,17.723214285714285
2021-02,Hsinchu,2021-02-14 12:00:00,4.111882142857143,16.309642857142858
2021-02,Hualien,2021-02-14 12:00:00,3.7675142857142854,21.336071428571426
2021-02,Kaohsiung,2021-02-14 12:00:00,4.871010714285715,21.857499999999998
2021-02,Miaoli,2021-02-14 12:00:00,4.111882142857143,17.45
2021-02,Pingtung,2021-02-14 12:00:00,4.871010714285715,21.509285714285713
2021-02,Taichung,2021-02-14 12:00:00,4.111882142857143,18.752857142857145
2021-02,Tainan,2021-02-14 12:00:00,4.724860714285714,20.634999999999998
2021-02,Taipei,2021-02-14 12:00:00,3.565553571428571,16.309642857142858
2021-02,Taitung,2021-02-14 12:00:00,3.9161642857142858,18.340714285714284
2021-02,Taoyuan,2021-02-14 12:00:00,3.958103571428571,16.309642857142858
2021-02,Yunlin,2021-02-14 12:00:00,4.724860714285714,17.723214285714285
2021-03,Changhua,2021-03-16 00:00:00,3.956906451612903,21.34935483870968
2021-03,Chiayi,2021-03-16 00:00:00,4.752322580645162,20.893548387096775
2021-03,Hsinchu,2021-03-16 00:00:00,3.956906451612903,18.377096774193546
2021-03,Hualien,2021-03-16 00:00:00,3.872751612903226,22.876451612903224
2021-03,Kaohsiung,2021-03-16 00:00:00,5.177467741935484,23.28483870967742
2021-03,Miaoli,2021-03-16 00:00:00,3.956906451612903,19.68
2021-03,Pingtung,2021-03-16 00:00:00,5.177467741935484,24.548387096774192
2021-03,Taichung,2021-03-16 00:00:00,3.956906451612903,21.34935483870968
2021-03,Tainan,2021-03-16 00:00:00,4.752322580645162,22.210322580645162
2021-03,Taipei,2021-03-16 00:00:00,3.178164516129032,18.377096774193546
2021-03,Taitung,2021-03-16 00:00:00,4.224780645161291,20.986451612903227
2021-03,Taoyuan,2021-03-16 00:00:00,3.845816129032258,18.377096774193546
2021-03,Yunlin,2021-03-16 00:00:00,4.752322580645162,20.893548387096775
2021-04,Changhua,2021-04-15 12:00:00,4.354133333333333,24.312666666666665
2021-04,Chiayi,2021-04-15 12:00:00,4.866566666666667,22.801666666666666
2021-04,Hsinchu,2021-04-15 12:00:00,4.354133333333333,21.091333333333335
2021-04,Hualien,2021-04-15 12:00:00,4.07746,24.246666666666666
2021-04,Kaohsiung,2021-04-15 12:00:00,5.092673333333334,25.235
2021-04,Miaoli,2021-04-15 12:00:00,4.354133333333333,23.24233333333333
2021-04,Pingtung,2021-04-15 12:00:00,5.092673333333334,26.134333333333334
2021-04,Taichung,2021-04-15 12:00:00,4.354133333333333,24.312666666666665
2021-04,Tainan,2021-04-15 12:00:00,4.866566666666667,24.897
2021-04,Taipei,2021-04-15 12:00:00,4.075336666666667,21.091333333333335
2021-04,Taitung,2021-04-15 12:00:00,4.520476666666667,22.436666666666667
2021-04,Taoyuan,2021-04-15 12:00:00,4.151736666666666,21.091333333333335
2021-04,Yunlin,2021-04-15 12:00:00,4.866566666666667,22.801666666666666
2021-05,Changhua,2021-05-16 00:00:00,5.742887096774194,28.101290322580645
2021-05,Chiayi,2021-05-16 00:00:00,6.19266129032258,26.12290322580645
2021-05,Hsinchu,2021-05-16 00:00:00,5.742887096774194,26.413548387096775
2021-05,Hualien,2021-05-16 00:00:00,5.961709677419354,27.549677419354836
2021-05,Kaohsiung,2021-05-16 00:00:00,6.647622580645161,28.333225806451615
2021-05,Miaoli,2021-05-16 00:00:00,5.742887096774194,26.63774193548387
2021-05,Pingtung,2021-05-16 00:00:00,6.647622580645161,28.760967741935485
2021-05,Taichung,2021-05-16 00:00:00,5.742887096774194,28.101290322580645
2021-05,Tainan,2021-05-16 00:00:00,6.19266129032258,28.570645161290326
2021-05,Taipei,2021-05-16 00:00:00,5.066851612903226,26.413548387096775
2021-05,Taitung,2021-05-16 00:00:00,6.4410870967741936,26.31096774193548
2021-05,Taoyuan,2021-05-16 00:00:00,5.28005806451613,26.413548387096775
2021-05,Yunlin,2021-05-16 00:00:00,6.19266129032258,26.12290322580645
2021-06,Changhua,2021-06-15 12:00:00,5.084976666666666,26.516000000000002
2021-06,Chiayi,2021-06-15 12:00:00,4.678256666666667,24.189
2021-06,Hsinchu,2021-06-15 12:00:00,5.084976666666666,26.92
2021-06,Hualien,2021-06-15 12:00:00,5.2258233333333335,29.240333333333336
2021-06,Kaohsiung,2021-06-15 12:00:00,4.818646666666667,29.038999999999998
2021-06,Miaoli,2021-06-15 12:00:00,5.084976666666666,26.715333333333334
2021-06,Pingtung,2021-06-15 12:00:00,4.818646666666667,27.69633333333333
2021-06,Taichung,2021-06-15 12:00:00,5.084976666666666,26.516000000000002
2021-06,Tainan,2021-06-15 12:00:00,4.678256666666667,28.736333333333334
2021-06,Taipei,2021-06-15 12:00:00,5.14748,26.92
2021-06,Taitung,2021-06-15 12:00:00,5.72242,26.257333333333335
2021-06,Taoyuan,2021-06-15 12:00:00,4.815153333333333,26.92
2021-06,Yunlin,2021-06-15 12:00:00,4.678256666666667,24.189
2021-07,Changhua,2021-07-16 00:00:00,6.372445161290323,27.232903225806453
2021-07,Chiayi,2021-07-16 00:00:00,5.745712903225806,25.003548387096775
2021-07,Hsinchu,2021-07-16 00:00:00,6.372445161290323,27.839032258064517
2021-07,Hualien,2021-07-16 00:00:00,6.31196129032258,29.409354838709678
2021-07,Kaohsiung,2021-07-16 00:00:00,5.607145161290323,29.442903225806454
2021-07,Miaoli,2021-07-16 00:00:00,6.372445161290323,27.498709677419356
2021-07,Pingtung,2021-07-16 00:00:00,5.607145161290323,28.051290322580645
2021-07,Taichung,2021-07-16 00:00:00,6.372445161290323,27.232903225806453
2021-07,Tainan,2021-07-16 00:00:00,5.745712903225806,29.130967741935486
2021-07,Taipei,2021-07-16 00:00:00,6.42468064516129,27.839032258064517
2021-07,Taitung,2021-07-16 00:00:00,6.415383870967742,26.287096774193547
2021-07,Taoyuan,2021-07-16 00:00:00,5.857438709677419,27.839032258064517
2021-07,Yunlin,2021-07-16 00:00:00,5.745712903225806,25.003548387096775
2021-08,Changhua,2021-08-16 00:00:00,5.467493548387097,26.498387096774195
2021-08,Chiayi,2021-08-16 00:00:00,4.71821935483871,24.126451612903224
2021-08,Hsinchu,2021-08-16 00:00:00,5.467493548387097,27.220645161290324
2021-08,Hualien,2021-08-16 00:00:00,5.059358064516129,28.820967741935487
2021-08,Kaohsiung,2021-08-16 00:00:00,4.560258064516129,29.17806451612903
2021-08,Miaoli,2021-08-16 00:00:00,5.467493548387097,26.921290322580642
2021-08,Pingtung,2021-08-16 00:00:00,4.560258064516129,27.467741935483872
2021-08,Taichung,2021-08-16 00:00:00,5.467493548387097,26.498387096774195
2021-08,Tainan,2021-08-16 00:00:00,4.71821935483871,28.700000000000003
2021-08,Taipei,2021-08-16 00:00:00,5.4722193548387095,27.220645161290324
2021-08,Taitung,2021-08-16 00:00:00,5.091470967741936,25.751935483870966
2021-08,Taoyuan,2021-08-16 00:00:00,4.988567741935484,27.220645161290324
2021-08,Yunlin,2021-08-16 00:00:00,4.71821935483871,24.126451612903224
2021-09,Changhua,2021-09-15 12:00:00,5.8307633333333335,27.223
2021-09,Chiayi,2021-09-15 12:00:00,5.45021,24.812
2021-09,Hsinchu,2021-09-15 12:00:00,5.8307633333333335,26.913
2021-09,Hualien,2021-09-15 12:00:00,5.570676666666667,28.845666666666666
2021-09,Kaohsiung,2021-09-15 12:00:00,5.66643,29.51966666666667
2021-09,Miaoli,2021-09-15 12:00:00,5.8307633333333335,27.599666666666668
2021-09,Pingtung,2021-09-15 12:00:00,5.66643,28.035
2021-09,Taichung,2021-09-15 12:00:00,5.8307633333333335,27.223
2021-09,Tainan,2021-09-15 12:00:00,5.45021,29.040000000000003
2021-09,Taipei,2021-09-15 12:00:00,5.794536666666667,26.913
2021-09,Taitung,2021-09-15 12:00:00,5.8106599999999995,25.465
2021-09,Taoyuan,2021-09-15 12:00:00,5.360526666666667,26.913
2021-09,Yunlin,2021-09-15 12:00:00,5.45021,24.812
2021-10,Changhua,2021-10-16 00:00:00,4.1899870967741935,25.697741935483872
2021-10,Chiayi,2021-10-16 00:00:00,4.367867741935483,23.136129032258065
2021-10,Hsinchu,2021-10-16 00:00:00,4.1899870967741935,23.684193548387096
2021-10,Hualien,2021-10-16 00:00:00,3.6704870967741936,26.861290322580647
2021-10,Kaohsiung,2021-10-16 00:00:00,4.422974193548387,28.28290322580645
2021-10,Miaoli,2021-10-16 00:00:00,4.1899870967741935,25.656129032258065
2021-10,Pingtung,2021-10-16 00:00:00,4.422974193548387,26.78290322580645
2021-10,Taichung,2021-10-16 00:00:00,4.1899870967741935,25.697741935483872
2021-10,Tainan,2021-10-16 00:00:00,4.367867741935483,27.514193548387098
2021-10,Taipei,2021-10-16 00:00:00,3.575558064516129,23.684193548387096
2021-10,Taitung,2021-10-16 00:00:00,3.9025612903225806,23.52032258064516
2021-10,Taoyuan,2021-10-16 00:00:00,3.583390322580645,23.684193548387096
2021-10,Yunlin,2021-10-16 00:00:00,4.367867741935483,23.136129032258065
2021-11,Changhua,2021-11-15 12:00:00,3.1349566666666666,21.990000000000002
2021-11,Chiayi,2021-11-15 12:00:00,3.6402466666666666,19.933666666666667
2021-11,Hsinchu,2021-11-15 12:00:00,3.1349566666666666,19.382
2021-11,Hualien,2021-11-15 12:00:00,2.421043333333333,23.993
2021-11,Kaohsiung,2021-11-15 12:00:00,3.8771366666666665,25.33833333333333
2021-11,Miaoli,2021-11-15 12:00:00,3.1349566666666666,21.743
2021-11,Pingtung,2021-11-15 12:00:00,3.8771366666666665,24.269000000000002
2021-11,Taichung,2021-11-15 12:00:00,3.1349566666666666,21.990000000000002
2021-11,Tainan,2021-11-15 12:00:00,3.6402466666666666,24.178333333333335
2021-11,Taipei,2021-11-15 12:00:00,2.197483333333333,19.382
2021-11,Taitung,2021-11-15 12:00:00,2.68282,21.008333333333333
2021-11,Taoyuan,2021-11-15 12:00:00,2.482026666666667,19.382
2021-11,Yunlin,2021-11-15 12:00:00,3.6402466666666666,19.933666666666667
2021-12,Changhua,2021-12-16 00:00:00,2.8238806451612906,19.030322580645162
2021-12,Chiayi,2021-12-16 00:00:00,3.4625935483870967,17.42806451612903
2021-12,Hsinchu,2021-12-16 00:00:00,2.8238806451612906,16.474193548387095
2021-12,Hualien,2021-12-16 00:00:00,2.6215677419354835,21.9358064516129
2021-12,Kaohsiung,2021-12-16 00:00:00,3.506664516129032,23.45387096774194
2021-12,Miaoli,2021-12-16 00:00:00,2.8238806451612906,18.46193548387097
2021-12,Pingtung,2021-12-16 00:00:00,3.506664516129032,21.746129032258064
2021-12,Taichung,2021-12-16 00:00:00,2.8238806451612906,19.030322580645162
2021-12,Tainan,2021-12-16 00:00:00,3.4625935483870967,21.883548387096774
2021-12,Taipei,2021-12-16 00:00:00,1.8986032258064518,16.474193548387095
2021-12,Taitung,2021-12-16 00:00:00,2.51328064516129,18.443548387096776
2021-12,Taoyuan,2021-12-16 00:00:00,2.657658064516129,16.474193548387095
2021-12,Yunlin,2021-12-16 00:00:00,3.4625935483870967,17.42806451612903
2022-01,Changhua,2022-01-16 00:00:00,2.5798193548387096,17.991290322580646
2022-01,Chiayi,2022-01-16 00:00:00,3.244206451612903,16.759032258064515
2022-01,Hsinchu,2022-01-16 00:00:00,2.5798193548387096,15.280967741935482
2022-01,Hualien,2022-01-16 00:00:00,2.159432258064516,21.140967741935484
2022-01,Kaohsiung,2022-01-16 00:00:00,3.356164516129032,22.38806451612903
2022-01,Miaoli,2022-01-16 00:00:00,2.5798193548387096,17.660967741935483
2022-01,Pingtung,2022-01-16 00:00:00,3.356164516129032,21.49516129032258
2022-01,Taichung,2022-01-16 00:00:00,2.5798193548387096,17.991290322580646
2022-01,Tainan,2022-01-16 00:00:00,3.244206451612903,20.853548387096776
2022-01,Taipei,2022-01-16 00:00:00,1.588390322580645,15.280967741935482
2022-01,Taitung,2022-01-16 00:00:00,2.3633225806451614,18.186129032258062
2022-01,Taoyuan,2022-01-16 00:00:00,2.231925806451613,15.280967741935482
2022-01,Yunlin,2022-01-16 00:00:00,3.244206451612903,16.759032258064515
2022-02,Changhua,2022-02-14 12:00:00,2.4905392857142856,17.180357142857144
2022-02,Chiayi,2022-02-14 12:00:00,3.363632142857143,16.4325
2022-02,Hsinchu,2022-02-14 12:00:00,2.4905392857142856,14.656428571428572
2022-02,Hualien,2022-02-14 12:00:00,2.6974071428571427,20.763571428571428
2022-02,Kaohsiung,2022-02-14 12:00:00,3.849160714285714,21.554642857142856
2022-02,Miaoli,2022-02-14 12:00:00,2.4905392857142856,16.29
2022-02,Pingtung,2022-02-14 12:00:00,3.849160714285714,21.449285714285715
2022-02,Taichung,2022-02-14 12:00:00,2.4905392857142856,17.180357142857144
2022-02,Tainan,2022-02-14 12:00:00,3.363632142857143,19.662857142857145
2022-02,Taipei,2022-02-14 12:00:00,1.5757571428571429,14.656428571428572
2022-02,Taitung,2022-02-14 12:00:00,3.1184285714285713,18.08214285714286
2022-02,Taoyuan,2022-02-14 12:00:00,2.465675,14.656428571428572
2022-02,Yunlin,2022-02-14 12:00:00,3.363632142857143,16.4325
2022-03,Changhua,2022-03-16 00:00:00,3.9500354838709675,21.63935483870968
2022-03,Chiayi,2022-03-16 00:00:00,4.634025806451612,20.575483870967744
2022-03,Hsinchu,2022-03-16 00:00:00,3.9500354838709675,19.016451612903225
2022-03,Hualien,2022-03-16 00:00:00,3.679941935483871,23.243870967741938
2022-03,Kaohsiung,2022-03-16 00:00:00,5.023225806451613,24.38193548387097
2022-03,Miaoli,2022-03-16 00:00:00,3.9500354838709675,20.413870967741936
2022-03,Pingtung,2022-03-16 00:00:00,5.023225806451613,24.1658064516129
2022-03,Taichung,2022-03-16 00:00:00,3.9500354838709675,21.63935483870968
2022-03,Tainan,2022-03-16 00:00:00,4.634025806451612,23.444193548387098
